ID,alias,city,degrees_highest,operating,state,url,zip5
166665,University of Massachusetts-Central Office,Boston,9,1,MA,www.massachusetts.edu,02110
122782,San Mateo County Community College District Office,San Mateo,4,1,CA,www.smccd.edu,94402
181747,University of Nebraska-Central Administration System Office,Lincoln,9,1,NE,www.nebraska.edu,68583-0743
485120,New Horizons Medical Institute-Winder,Winder,2,1,GA,www.newhorizonsmedical.com,30680-2130
128300,University of Colorado System Office,Denver,9,1,CO,www.cu.edu,80203-1187
484020,Beyond Measure Barbering Institute,Mebane,2,1,NC,www.beyondmeasurebarbering.com,27302-2323
483753,Champ's Barber School,Lancaster,2,1,PA,champsbarberschool.com,17603-3809
484145,Excel Learning Center-San Antonio,San Antonio,2,1,TX,www.excel.edu,78230-4823
484747,University of Phoenix-Tennessee,Nashville,7,1,TN,www.phoenix.edu,37214
483966,Healthcare Preparatory Institute,Las Vegas,2,1,NV,www.healthcare-prep.com,89130-2580
